	System-Id	WM1	WM2	distance	drug-offset-end	drug-offset-start	relType	sideEffect-offset-end	sideEffect-offset-start	Sentence
3502	0c02a037-68ad-4af0-8101-8e98af720100	erbitux	work well		165	158	positive	426	417	in fact the ro switched me up for the second chemo tx saying it appears now that erbitux doesn't work well on some bot cancers.
3503	0c03690c-5a97-4dc0-8130-d15fbbca9000	xeloda	is working		58	52	positive	69	59	xeloda is working!
3504	0c0b4d82-7215-4c90-9551-69c32d92b264	arimidex	i feel great		105	97	positive	122	110	marysun, i am in my second year of survival of breast cancer and will soon start my 2nd year on arimidex and i feel great.
3505	0c0b76c1-9ea7-4351-8132-6a997c230579	kadcyla	was not too bad		112	105	positive	129	114	my daughter was on kadcyla, was not too bad.
3507	0c0ccb00-65aa-4a72-8132-ae3cbbc9c824	avastin	that went well		174	167	positive	221	207	had another avastin treatment in the chemo room and that went well.
3509	0c0daadc-59c6-47d4-8132-dac11be60910	armidex	doing well		54	47	positive	81	71	been on name brand armidex since may 9 and doing well.
3510	0c1098be-eabb-4a44-8133-6ff84be47f90	zeloda	is a wonderful drug		7	1	positive	27	8	zeloda is a wonderful drug and i truly don't think that you are going to have a problem.
3511	0c13cfa0-4b17-4290-956f-92e323953d64	temodar	have done well		95	88	positive	84	70	have done well on temodar 5/23 maint.
3513	0c143264-334d-4120-9570-f180377f0190	irinotecan	it is doable		1628	1618	positive	1695	1683	without the irinotecan i still don't like chemo, but it is doable.
3514	0c15ab4d-986c-4d02-8bd1-b1be38541a84	femara	no side effects		282	276	positive	517	502	i was originally on femara and moved off that after 6 months on to tamoxifen due to crippling side effects, i found my menopause symptons rapidly escalated when on tamoxifen for 3 months, i moved off it due to migraines and now take aromasin and no side effects.
3515	0c15ab4d-986c-4d02-8bd1-b1be38541a84	tamoxifen	no side effects		332	323	positive	517	502	i was originally on femara and moved off that after 6 months on to tamoxifen due to crippling side effects, i found my menopause symptons rapidly escalated when on tamoxifen for 3 months, i moved off it due to migraines and now take aromasin and no side effects.
3516	0c15ab4d-986c-4d02-8bd1-b1be38541a84	aromasi	no side effects		496	489	positive	517	502	i was originally on femara and moved off that after 6 months on to tamoxifen due to crippling side effects, i found my menopause symptons rapidly escalated when on tamoxifen for 3 months, i moved off it due to migraines and now take aromasin and no side effects.
3517	0c168955-f736-460a-8134-9efa8245a4c4	tamox	helped a lot		352	347	positive	509	497	the tamoxifen was a bother for a month or so, then i started neurontin for the hot flashes which helped a lot.
3518	0c168955-f736-460a-8134-9efa8245a4c4	tamoxifen	helped a lot		413	404	positive	509	497	the tamoxifen was a bother for a month or so, then i started neurontin for the hot flashes which helped a lot.
3519	0c16c718-a3e1-4bc0-957a-1c1b87ee1a40	taxol	went well		112	107	positive	10	1	went well i to have liver mets, from breast cancer originally dx 8 yrs ago, and bone mets, i have been on taxol for 6 months my dr is going to take me off and put me on taxil now my tumor markers are down and he feels well enough under controle he does not believe in ned going in later this week for a pet of my liver had one spot before chemo 6 months ago we will see how it looks now.taxol seemed to work pretty well on my cancer though good luck with yours.
3520	0c16f438-dce5-4ca8-957a-bc73849676c1	taxol	it helped		96	91	positive	147	138	i just had a mild reaction to my taxol and my oncologist changed my premeds and it helped.
3521	0c18e01a-41da-47ad-8135-16746f2a2581	taxol	was easy		118	113	positive	163	155	i had the same as you ac x 4 then weekly taxol x 12. the ac was hard but the taxol was easy except towards the end i developed pins and needles in my fingers and feet and my balance was affected, so i was not given my last taxol treatment.
3523	0c1bcb82-c62f-4570-958b-f3875e37f964	carboplatin	did very well		945	934	positive	881	868	however for me i did very well with my first 2 courses of treatment -1) 6 doses of carboplatin + taxol and 2) 7 doses of carboplatin + 35 radiation.
3524	0c1bcb82-c62f-4570-958b-f3875e37f964	taxol	did very well		953	948	positive	881	868	however for me i did very well with my first 2 courses of treatment -1) 6 doses of carboplatin + taxol and 2) 7 doses of carboplatin + 35 radiation.
3525	0c1dcadf-1254-4e50-8be1-9ad5a52f7900	taxol	my hair started to grow back		26	21	positive	59	31	hi sue i had weekly taxol and my hair started to grow back halfway thru, but my eyelashes and eyebrows that had hung in while having fec deserted halfway thru taxol.
3526	0c1ec354-f2ac-4e66-82b4-990a944d1e04	bendamustine	it did work		150	138	positive	355	344	it did work when they added bendamustine which is a chemo drug but not to bad side effects.
3528	0c2162e5-2713-4ce8-959f-de4bd60a00d1	cisplatin	good results		206	197	positive	105	93	kim, i talked to our hem/onc pharmacist at the hospital i work for and he says patients get good results with emend but also says aloxi (palonosetron) produces good results for patients receiving cisplatin.
3529	0c217f1e-3307-41cc-8102-80b712558281	avastin	which helped		177	170	positive	191	179	she has been on chemo pretty much since the beginning and she received 5 treatments of avastin, which helped her get more alert but her body lost all mobility.
3530	0c234ebc-ab2b-4cd8-95a6-b86b345cc2e1	xeloda	working for me		397	391	positive	415	401	i have scans coming up next week, hoping the xeloda is working for me.
3531	0c23cc47-39f9-45f6-8137-459750b8b4c4	aromasi	so far so good		1524	1517	positive	1544	1530	i have also been to a medical oncologist and have already started taking aromasin and so far so good.
3532	0c23ea56-c88a-4406-8137-4b9ce4836684	xeloda	gentle enough		622	616	positive	550	537	it's been gentle enough that her doctor has kept her on it while doing different chemos (xeloda, ibrance, doxil, taxotere).
3533	0c23ea56-c88a-4406-8137-4b9ce4836684	ibrance	gentle enough		631	624	positive	550	537	it's been gentle enough that her doctor has kept her on it while doing different chemos (xeloda, ibrance, doxil, taxotere).
3534	0c23ea56-c88a-4406-8137-4b9ce4836684	doxil	gentle enough		638	633	positive	550	537	it's been gentle enough that her doctor has kept her on it while doing different chemos (xeloda, ibrance, doxil, taxotere).
3535	0c23ea56-c88a-4406-8137-4b9ce4836684	taxotere	gentle enough		648	640	positive	550	537	it's been gentle enough that her doctor has kept her on it while doing different chemos (xeloda, ibrance, doxil, taxotere).
3536	0c295c2f-434b-4690-95bc-5584606d3764	carboplatin	had very few side effects		223	212	positive	364	339	last time, 7 years ago, i took carboplatin and taxol and had very few side effects.
3538	0c295c2f-434b-4690-95bc-5584606d3764	taxol	had very few side effects		334	329	positive	364	339	last time, 7 years ago, i took carboplatin and taxol and had very few side effects.
3539	0c2ae499-a7e1-4fba-8138-b1d88ef1d184	fasolodex	it worked great		132	123	positive	56	41	i have been on femara for two years and it worked great but now liver mets have returned and onc is going to switch me to fasolodex.
3540	0c2ae499-a7e1-4fba-8138-b1d88ef1d184	femara	it worked great		22	16	positive	56	41	i have been on femara for two years and it worked great but now liver mets have returned and onc is going to switch me to fasolodex.
3541	0c2bb069-dca5-4b96-8138-dac585645c44	tykerb	is not bad		157	151	positive	182	172	on the flip side, tykerb and herceptin is not bad.
3542	0c2bb069-dca5-4b96-8138-dac585645c44	herceptin	is not bad		171	162	positive	182	172	on the flip side, tykerb and herceptin is not bad.
3543	0c2cee85-8f8b-4f73-8139-1aab21337a41	taxol	went well		46	41	positive	56	47	hope your taxol went well.
3544	0c2d0e39-0135-4984-85a3-e9613eadb9c4	cisplatin	more effective		431	422	positive	416	402	coxen screening .they screened a mind boggling 45,000 compounds and found 233 drugs more effective than cisplatin?
3545	0c2d8c48-381a-4450-95cb-504b45a15e84	tamoxifen	was pretty easy		23	14	positive	434	419	so for me, tamoxifen was pretty easy!
3548	0c2da820-57c1-4774-8104-87fc67517aa1	tarceva	doing very well		37	30	positive	57	42	hi everyone, my mother is on tarceva and doing very well.
3549	0c2e99c7-1128-4930-8139-70878ac90100	taxol	much easier		14	9	positive	26	15	i found taxol much easier than ac.
3550	0c3051b3-8620-4cb8-8139-c8fbf332da40	femera	no problems so far		44	38	positive	79	61	hi ladies i have been on the generic femera for 3 weeks and no problems so far.
3552	0c315fbe-7cbe-4ce8-95d9-043acfb720d1	xeloda	is working		46	40	positive	1895	1885	that's all the info i have.the pet in december will tell us if the xeloda is working.
3553	0c31b15d-7602-4cb4-8105-34c9247982c1	temodar	have helped		236	229	positive	457	446	he will have four to five months of temodar 5 days a month and in jan 2009 he will have a mri to see if this treatments have helped.
3555	0c31f2ca-f2bd-4810-95db-134141e3bd24	femara	doing better		841	835	positive	858	846	now on femara and doing better.
3556	0c32229d-76d5-4588-95db-beac02ee67a9	erbitux	works well		165	158	positive	73	63	the radiacare also works well on the rash that is caused by erbitux.
3557	0c33003f-564a-4e31-813a-531fcd9f2539	taxol	i am doing ok		25	20	positive	14	1	i am doing ok with taxol but only have done 4. i have some annoying side effects like the slight cough and i wonder what i will feel like at taxol # 9 or #10.good to know taxol is very effective against breast cancer.
3558	0c33ad49-39a7-472d-97c8-c444de0c7a09	carbo	it works		342	337	positive	306	298	nano tubes use in fighting cancer is indeed, a unique process; it works by inserting tiny microscopic carbon synthetic rods into the body to deliver the cancer treatment to the exact spot needed.
3559	0c33c8c3-57e8-41b2-86f3-bb1f60ccded9	carac	it was great		268	263	positive	390	378	the caracalla is spectacular http://www.baden-baden.de/en/spahealthbeauty/c/content/content/00573/indexen.html&nav=361 it was great to meet my doctor from denmark, he took me to the conference, it was great to goto the thermal baths and relax afterwards.
3560	0c34b27b-9a31-4475-8c0e-b0f59f857a19	tamoxifen	more effective		100	91	positive	46	32	i too had read about ais being more effective and having higher non-recurrence rates than tamoxifen - so i was pretty keen to go the ai route.
3561	0c35f094-bbe5-40b0-95e9-640a7d52e204	herceptin	feel great		169	160	positive	184	174	i have been taking oral herceptin and feel great.
3562	0c3676f9-3024-4e15-8c12-2f2fa3925259	tykerb	very good		61	55	positive	83	74	on tonights news, results of advanced bc ladies using tykerb seems to be very good.
3563	0c3695ca-0f5d-4d0f-82bf-4615a8657f79	doxil	it works		293	288	positive	1366	1358	so my next best step is the doxil (hoping it works).
3564	0c3788b0-0111-4ea6-8c14-4c5ab6135e24	tamoxifen	i have had no side effects		465	456	positive	592	566	i have had no side effects [none that i can confirm relate to tamoxifen and nothing major anyway].
3565	0c38aee0-bfa6-4ca3-813b-7833e7c08761	herceptin	good results		153	144	positive	1845	1833	and my doctor pointed out that in europe they give herceptin for only a few months with good results so even if herceptin has to be stopped before the year is over, i probably will have gotten most of the benefit.
3566	0c3a1a2a-7d5a-4c0b-813b-c17b271ab491	taxol	has been easier		979	974	positive	995	980	the taxol has been easier but beginning to wonder if it's catching up with me.
3567	0c3d0faf-e8b4-4d56-813c-5a62eedeb144	taxol	hair is growing		77	72	positive	236	221	can't wait to be done but also a little scared.my hair is growing on taxol which is nice!hope everyone else is ok :)
3568	0c3ef0af-f8af-4560-80ad-ae5c81384e40	nolvadex	can help		35	27	positive	147	139	now that the gland had settled in i dont see how nolvadex can help.
3569	0c408bd8-420a-4852-813d-0ea748afbba4	herceptin	feel much better		310	301	positive	229	213	had gatorade and saltines along with zofran and feel much better today and am at work.anyone else in our group her2+ and going to be on herceptin did you have a muga scan i'm scheduled to start herceptin next wed with chemo and my dr. hasn't ordered me one before treatment.
3570	0c42c5fb-cc4b-4132-82c4-c47e39212624	rituxan	very helpful		258	251	positive	535	523	i found crosswords were very helpful on my long rituxan days.
3571	0c439488-6ba9-4ede-813d-abc08e244fe4	taxol	is easier		348	343	positive	358	349	(i pray, too, that the taxol is easier.)
3572	0c43b723-8806-4e6f-813d-b2c15ea2c5f9	taxotere	my hair started to come back		550	542	positive	654	626	my hair started to come back in after the 3rd round of taxotere.
3573	0c4a1e9f-6370-4533-813e-fee1ec1130c1	tamoxifen	more effective		106	97	positive	91	77	what is your onc recommending?i know that the stats say that an ai would be more effective than tamoxifen in your case.since you are on the fence you could always try the ai and if the side effects are too severe, go for the tamoxifen?
3574	0c4a39c6-a341-4710-9632-6e88cfb02ca4	femara	working for me		132	126	positive	169	155	did a pet scan and just changed me from femara to tamoxifen-which is working for me.
3575	0c4a39c6-a341-4710-9632-6e88cfb02ca4	tamoxifen	working for me		145	136	positive	169	155	did a pet scan and just changed me from femara to tamoxifen-which is working for me.
3576	0c4ab657-1b39-4a8d-813f-1da6d7c5fe41	taxol	is better		315	310	positive	325	316	i am glad your experience with taxol is better.
3577	0c4ebb99-512c-48c0-9642-b96239587440	avastin	working for me		31	24	positive	54	40	yes, i am on folfiri + avastin + it is working for me - has reduced all tumours including the colorectal ones.
3577	0c4ebb99-512c-48c0-9642-b96239587440	avastin	working for me		31	24	positive	54	40	i was really disappointed too, but have found the folfiri + avastin is working for me; i hope you get the same results.
3578	0c4f16ed-213e-4bf8-9644-03c50dbb1f49	gemcitabine	worked well		239	228	positive	170	159	i have been back and forth with this disease since imy diagnosis in 2009. the latest i can tell you is votient worked well for me for 9 months before if had no more efficacy, then gemcitabine + sutent worked well for 9 months.
3579	0c4f16ed-213e-4bf8-9644-03c50dbb1f49	sutent	worked well		248	242	positive	170	159	i have been back and forth with this disease since imy diagnosis in 2009. the latest i can tell you is votient worked well for me for 9 months before if had no more efficacy, then gemcitabine + sutent worked well for 9 months.
3583	0c52030a-45de-4e9e-8140-991c38ccc8e4	exemestane	doing ok		23	13	positive	9	1	doing ok on exemestane.
3584	0c5357e7-4f66-4ed1-8140-de6bbc58f479	taxol	it worked for me		651	646	positive	672	656	since i was on chemo at the time i didn't heal as fast as usual but had no problems.i had a few problems with taxol but it worked for me.
3585	0c553549-39a0-4c2b-824f-f0695b283461	tarceva	have done well		132	125	positive	267	253	many that have come to this forum and have written of the experience with tarceva have done well.
3586	0c556b7e-f313-4194-8141-4a92843d4f10	kadcyla	works for me		58	51	positive	235	223	so i am praying kadcyla works for me.
3587	0c58fa7e-0f8d-4f8b-8251-5a8ea2c884a1	firmagon	going well		27	19	positive	143	133	had the first two firmagon injections on the 19th and other than a rather annoying site reaction that lasted a week all seems to be going well.
3588	0c5c854c-c76e-4558-9738-a2bfeadffe59	tamoxifen	help me sleep		856	847	positive	909	896	"he was going to put me on a script to help me sleep when i asked ""is it compatible with the tamoxifen?""."
3589	0c5efd00-a6ce-43de-85d2-8af3fcf3a4d1	mitomycin	helped me		347	338	positive	532	523	and perhaps i did in a way since i had the slides reviewed at harvard, and i reviewed the recommended treatment (mitomycin c instead of bcg for tag3 + cis) with a urological oncologist from harvard, but in the end, i asked very few questions, and what i read on the internet scared me more than it helped me.
3590	0c5fba74-fdab-4a00-9680-5e9bf1141000	taxotere	was better		16	8	positive	537	527	anderson thought taxotere was better than taxol, so that is what i wanted.
3591	0c5fba74-fdab-4a00-9680-5e9bf1141000	taxol	was better		548	543	positive	537	527	anderson thought taxotere was better than taxol, so that is what i wanted.
3592	0c607aef-46af-4307-82d2-3f4cb8b52a49	rituxan	pretty well		39	32	positive	51	40	so glad your mom tolerated the rituxan pretty well!
3593	0c60d273-b326-4e2d-8143-9db251fc0681	carbo	great response		208	203	positive	199	185	yes, after all the stress of last week, getting the ct report just before leaving for vacation, the onc does believe that all is good, i've had a great response to carbo/taxotere, and after today's treatment my next scheduled scan is the end of july, ct's, and then the next week a bone scan.
3594	0c60d273-b326-4e2d-8143-9db251fc0681	taxotere	great response		217	209	positive	199	185	yes, after all the stress of last week, getting the ct report just before leaving for vacation, the onc does believe that all is good, i've had a great response to carbo/taxotere, and after today's treatment my next scheduled scan is the end of july, ct's, and then the next week a bone scan.
3595	0c61f06b-f376-4e9b-8143-d81dbe4aa6f1	taxotere	it worked		83	75	positive	139	130	her doc started her out on taxotere just to get the liver mets under control, and it worked.
3596	0c624db9-51fe-4044-810d-678d60149b39	gemcitabine	recovered well		779	768	positive	681	667	he recovered well for 6weeks, had 28 days of radiation & 5 fu, rested for 1 month and is now undergoing gemcitabine once a week for 3 weeks then 1 week off.
3597	0c670edb-9920-4b70-8144-e41555d92900	arimidex	prevent a recurrence		1034	1026	positive	1074	1054	the lx, the rads, the ovary suppression and ultimately my oophorectomy, and the arimidex/anastrazole should prevent a recurrence.
3598	0c670edb-9920-4b70-8144-e41555d92900	anastrazole	prevent a recurrence		1046	1035	positive	1074	1054	the lx, the rads, the ovary suppression and ultimately my oophorectomy, and the arimidex/anastrazole should prevent a recurrence.
3599	0c675658-a0fa-4d6f-8144-f2b6d79657f9	adry	i did well		211	207	positive	197	187	i did well with the adryamycian but started with bad headache near the end of the cytoxin.
3600	0c675658-a0fa-4d6f-8144-f2b6d79657f9	cytoxin	i did well		276	269	positive	197	187	i did well with the adryamycian but started with bad headache near the end of the cytoxin.
3601	0c693489-5ebb-4d9e-8145-549d3e362ce4	ixempra	seems to be working		53	46	positive	99	80	diana, i am so sorry for your progression on ixempra but i am glad that gemzar seems to be working and that your kidney function went back to normal.
3602	0c6af43f-3680-4429-8145-b05383cacee9	avastin	she is doing great		127	120	positive	252	234	she is doing great on avastin, you would never know she is sick.
3603	0c6b83a1-a2e9-4302-ac57-f34e34116004	irinotecan	it works		107	97	positive	3764	3756	i have had a 7 week break from chemo, so what if the lung nodules have grown and when we start the irinotecan it works but in reality the next time we have a ct scan they look no different from the dec scan.
3604	0c6bf76d-67f6-4b18-96ac-f6f271e792d1	rituxan	is a miracle drug		177	170	positive	195	178	rituxan is a miracle drug for lymphoma and hopefully it will help to shrink the tumor.
3605	0c6cc919-8adb-4a82-8146-106c5dc6f564	arimidex	fairly well		30	22	positive	1009	998	i have tolerated arimidex fairly well.
3607	0c6e5114-9abb-4633-8146-60ce968ba6c1	arimidex	i have no side effects		701	693	positive	740	718	i wish you well.fyi:i am taking arimidex/anastrazole and i have no side effects.
3608	0c6e5114-9abb-4633-8146-60ce968ba6c1	anastrazole	i have no side effects		713	702	positive	740	718	i wish you well.fyi:i am taking arimidex/anastrazole and i have no side effects.
3610	0c6e782c-d1be-49b6-8146-68d3855231c4	cytoxa	no problems		200	194	positive	270	259	have had some stomach pains from the cytoxan, and dealing with the constipation, but other than that, no problems.
3611	0c6fc576-242d-44b0-8146-ad3509621100	tamoxifen	had no issues		227	218	positive	268	255	i took tamoxifen when i ended radiation and had no issues at all.i start arimidex tomorrow.
3612	0c6fc576-242d-44b0-8146-ad3509621100	arimidex	had no issues		292	284	positive	268	255	i took tamoxifen when i ended radiation and had no issues at all.i start arimidex tomorrow.
3613	0c70c439-8213-499f-82d9-b0f1895ca659	rituxan	works better		146	139	positive	228	216	rituxan works better with certain cancers and it seems that large cell-b has had limited results.
3614	0c7283ca-7378-4d68-8450-549eaba0f421	taxol	no problems		309	304	positive	227	216	as you see from my data below i had 4 rounds of taxotere in 2008, but no problems with my nail other than turning dark at the cuticle, but these 12 rounds of taxol is really causing some pain and yes i only have two left but i am hoping it doesn't get anyworst.
3617	0c73c3e7-6883-4d34-8147-7f286a95dc10	faslodex	had no ses		66	58	positive	387	377	the plan was to get her stable after a few cycles and then switch to faslodex, but she did so well on xelod and had no ses so they continued on it.
3618	0c748dcf-3678-4a6c-8110-83e1d3b57531	opdivo	working for me		13	7	positive	136	122	opdivo quit working for me.
3619	0c748dcf-3678-4a6c-8110-83e1d3b57531	opdivo	i feel much better		13	7	positive	371	353	i had big amounts of fluid build up in my lung-pleura area.i think it was due to the opdivo the oncologist would not confirm that, that is only my opinion, i am now one month on tagrisso and no buildup of fluid and i feel much better than any other time in the last two years, do not give up hope.
3621	0c748dcf-3678-4a6c-8110-83e1d3b57531	tagrisso	i feel much better		324	316	positive	371	353	i had big amounts of fluid build up in my lung-pleura area.i think it was due to the opdivo the oncologist would not confirm that, that is only my opinion, i am now one month on tagrisso and no buildup of fluid and i feel much better than any other time in the last two years, do not give up hope.
3622	0c779a98-9137-4019-8148-4931b6aea7c9	tamox	somewhat better		18	13	positive	46	31	hi hope,the tamox is behaving somewhat better.
3623	0c79349c-b02d-45cc-8148-9d903049e410	xeloda	so far so good		383	377	positive	406	392	im on my second cycle of xeloda now and so far so good.
3624	0c793fe8-06d7-45aa-8148-9fe34afd4d44	tamox	i was doing okay		343	338	positive	591	575	i was doing okay on the tamox.
3626	0c7c3c07-d03a-4f20-96e8-82a315f4af90	gemzar	i have had good results		220	214	positive	413	390	i have had good results with gemzar alone.
3629	0c7c8075-8372-4238-96e9-7dc1601b6379	gemzar	it works		103	97	positive	137	129	hello, i just joined this network and am wondering if anyone has any insight or experience with gemzar chemotherapy and whether it works on abdominal fluid build up.
3630	0c7ccc7d-455b-4a33-8149-5b001e26bec1	tamox	i felt so much better		126	121	positive	117	96	i felt so much better on tamox.
3632	0c7d6717-cf92-4575-811a-982559731ae9	revlimid	feeling so much better		158	150	positive	303	281	but we will pray that revlimid will be the answer and give tom some relief.i hope december will be the turning point for you and by christmas he will be feeling so much better!
3633	0c7dde2a-e752-4b3a-8149-9366f659d784	xeloda	is working		20	14	positive	31	21	glad to hear xeloda is working for you, jackie.
3634	0c804d43-91b0-4608-96f7-720457aeafc9	tamoxifen	pretty well		91	82	positive	103	92	i haven't noticed any difference, but i tolerated tamoxifen pretty well.
3636	0c86cb54-e8fb-4b0b-814b-6b15295d2e91	arimidex	doing just fine		79	71	positive	717	702	remember that we are here asking questions and commenting about side effects, but there are many, many women out there who find no need to be here because they are doing just fine on arimidex.
3639	0c874d00-419c-4b94-814b-85e319d2df10	herceptin	it works well		486	477	positive	501	488	remember that pertumazub as a single agent failed against her+ bc as well, only as combo therapy (with herceptin) it works well.
3640	0c88f6fb-9c15-4a23-814b-ddf928bdd061	tamoxifen	much harder		465	456	positive	353	342	"(and a mastectomy is much harder to recover from than a lumpectomy) now that these 2 parts of triumvirate ""standard of care"" are over (tamoxifen being the third) i can tell you both the surgeries and the radiation were very easy for me."
3641	0c8f1354-9bd9-43a0-972d-da90bb65cd10	taxol	it is working		92	87	positive	265	252	i am back on taxol after not having it for 21/2 years and it is working.
3645	0c93a9de-051b-4673-814e-156bec985441	taxol	went okay		993	988	positive	1003	994	glad your taxol went okay.
3646	0c93d604-a3e9-4408-973f-706634816b49	taxol	never had any nausea		907	902	positive	1386	1366	i never had any nausea with any of my chemo (i even quit taking the anti-nausea meds during the last 1/2 of taxol) - there is an unproven theory that those of us who did not have morning sickness (i didn't at all with either son)are less likly to experience chemo (or rad) nausea.
3647	0c948681-a56a-42eb-814e-43375ff3edd1	xeloda	it worked		30	24	positive	112	103	oh a ps.onc did say if xeloda brings my tm back to normal then she is going to try tamoxifen again as it worked before.and i had no probs with it.so there is more food for thought for u to think about and try.go back to the old treatment.hugsoz
3648	0c948681-a56a-42eb-814e-43375ff3edd1	tamoxifen	it worked		93	84	positive	112	103	oh a ps.onc did say if xeloda brings my tm back to normal then she is going to try tamoxifen again as it worked before.and i had no probs with it.so there is more food for thought for u to think about and try.go back to the old treatment.hugsoz
3649	0c9640e8-84c4-42e1-814e-9f136d2cda99	taxol	helped me		43	38	positive	263	254	"how bad is the pain and how long ago did you stop taking it?i'm scared to death of pain killers and how addicting they can be but i went to the ""big guns"" during taxol and dilaudid was the only thing that helped me."
3650	0c98d8d3-1bea-43b0-9751-fa48bdf02284	tamoxifen	it helped		26	17	positive	475	466	unfortunately, i developed b/c 18 mths after coming off the tamoxifen, so i'm not sure how much it helped.
3651	0c9902eb-71d9-4e80-9752-962501a69100	irenotecan	very effective		338	328	positive	356	342	irenotecan is very effective for many people.
3652	0c9f487a-be00-4b26-82ef-299d4dbd2f04	rituxan	no problems		112	105	positive	468	457	three months ago i had rituxan once a week for 4 weeks with no problems.
3653	0c9f6a9d-feca-4910-976a-53713a6975a4	avastin	was a lifesaver		63	56	positive	79	64	avastin was a lifesaver for me years ago, i hope it brings your numbers down again.
3654	0ca09376-e7c9-4710-976e-a0f3c9197ca4	revlimid	it works well		31	23	positive	312	299	i hope if anyone has used this med they will share soon, and i hope it works well for you, max http://chemocare.com/chemotherapy/drug-info/revlimid.aspx .
3655	0ca749a7-b13c-4f61-8152-2b2bbcdacb99	taxotere	my hair started to grow back		612	604	positive	816	788	my hair started to grow back toward the end of taxotere.
3656	0ca82395-bfb2-45d6-8618-31dbeb33dbe9	cisplatin	easier to tolerate		1275	1266	positive	1226	1208	that's why there has been a mad search for chemos that are easier to tolerate (since many blc patients are elderly), cisplatin containing regimens are the most effective.
3658	0ca9e843-94c4-4710-9791-4f723cc5aca4	taxol	it helps		108	103	positive	71	63	hi ma, i know what you mean, try sucking on something lemony, it helps with the yucky taste after the taxol.
3659	0cab2ca8-4956-4632-8152-fb0b42827724	tamoxifen	it helps		389	380	positive	1115	1107	hearing aids make me able to hear, so i am thankful for that.but i do know that so many women are on tamoxifen, and i also believe that it helps them.
3660	0cad3fdc-ddfa-45f0-979d-c1b0b341f624	arimidex	doing well		120	112	positive	97	87	i have stage 4 (mets to ribs), diagnosed april 2009. finished radiation in 2009. been doing well on zometa and arimidex.
3661	0caec37d-e449-4dcd-8153-bb39c7b3cec1	femara	is working		37	31	positive	48	38	glad that the femara is working and you are ned.
3663	0caf2aab-75a9-42d6-8153-d0d1cac0d344	xeloda	seems to be working		86	80	positive	1142	1123	xeloda/tykerb is #4 and seems to be working.
3664	0caf2aab-75a9-42d6-8153-d0d1cac0d344	tykerb	seems to be working		1112	1106	positive	1142	1123	xeloda/tykerb is #4 and seems to be working.
3665	0caf2aab-75a9-42d6-8153-d0d1cac0d344	xeloda	doing well		86	80	positive	273	263	i've been taking an mbc break or more accurately, ignoring my mbc.i've been catching up with the last several pages of this thread and i'm so happy for all who are doing well on xeloda or another regimen.
3666	0cb0ede7-a514-4640-97ab-79a560834e40	femara	no weight gain		42	36	positive	15	1	no weight gain from chemo, but the femara is making me gain weight and i don't need any extra weight !!
3668	0cb1f3a8-1fb7-4209-82f7-de05e2200769	revlimid	good results		37	29	positive	81	69	bob, my husband has been on revlimid for the last 2 1/2 months with good results.
3669	0cb30f64-5000-46c0-97b3-6d0de2bbb840	irenotecan	it helped		79	69	positive	388	379	it helped my neutrophils recover but my platelets were down so i had treatment postponed and my irenotecan decreased.
3672	0cb3cb14-ce36-43c6-8154-c8e4aa04eb84	taxol	was a lot easier		36	31	positive	53	37	my experience colleen is that taxol was a lot easier than ac.
3673	0cb45178-6e64-46a3-8154-e5102db12361	taxotere	much easier		37	29	positive	266	255	finding taxotere much easier than fec.maybe you will too!best wishesalice
3674	0cb4de23-6d2c-46e0-8155-028dde54a400	faslodex	it is working for me		121	113	positive	280	260	i don't know if it is the herceptin or faslodex kicking butt, but it is working for me.
3675	0cb4de23-6d2c-46e0-8155-028dde54a400	herceptin	it is working for me		187	178	positive	280	260	i don't know if it is the herceptin or faslodex kicking butt, but it is working for me.
3676	0cb54ec1-8da6-4091-8155-1a2b0300b3f9	tamoxifen	doing ok		201	192	positive	184	176	!rosie, glad you are doing ok on the tamoxifen.
3676	0cb54ec1-8da6-4091-8155-1a2b0300b3f9	tamoxifen	doing ok		201	192	positive	184	176	hope you are doing ok on the tamoxifen too!snow forcast here tonight.
3677	0cb581c9-33cb-46e8-97bc-90008a527d51	taxol	feeling great		118	113	positive	196	183	i too had diagnosis of uterine carcinosarcoma (stage ib) and two years after diagnosis and six rounds of chemo (taxol and carboplatin) plus 25 external pelvic radiation sessions, am feeling great.
3678	0cb581c9-33cb-46e8-97bc-90008a527d51	carboplatin	feeling great		134	123	positive	196	183	i too had diagnosis of uterine carcinosarcoma (stage ib) and two years after diagnosis and six rounds of chemo (taxol and carboplatin) plus 25 external pelvic radiation sessions, am feeling great.
3679	0cb70e9a-e4f3-4eac-80a5-703fa1cf1890	cisplatin	definitely doable		143	134	positive	161	144	like you said the cisplatin definitely doable.
3681	0cb95d09-b672-4a74-8155-f406e3cd7e10	taxol	was much much easier		6	1	positive	27	7	taxol was much much easier.
3682	0cbb4350-e7cf-45f6-8156-5a2779e534c4	herceptin	no problems so far		141	132	positive	161	143	right now i am about 1.5 hours into herceptin, no problems so far.
3684	0cbb7699-9776-4e0e-8156-64eda0f44624	herceptin	doing good		373	364	positive	356	346	glad you're doing good on the herceptin.
3685	0cbc5969-b3c1-4424-8125-d4a1799a0410	rituximab	no issues		421	412	positive	400	391	in addition if neutraphils drop below 1.0 then a weekly fbc test is required until neuts go above 1.0. no issues with the 4 rituximab infusions to date.
